Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GRB 050820A	0.116	0	0	0	0	17.85	0.04	0	0	110 	 40	8.46
GRB 050820A	0.93	0	0	0	0	19.94	0.31	0	0	634 	 62	8.46
GRB 050820A	2.15	0	0	0	0	20.51	0.11	0	0	419 	 50	8.46
GRB 050820A	4.11	0	0	0	0	21.22	0.11	0	0	74 	 36	8.46
GRB 050820A	8.10	0	0	0	0	22.02	0.10	0	0	166 	 45	8.46
# GRB 050820A	12.06	0	0	0	0	0	0	0	0	89 	 39	8.46
# GRB 050820A	14.91	0	0	0	0	0	0	0	0	106 	 33	8.46
GRB 050820A	25.93	0	0	0	0	24.55	0.08	0	0	76 	 30	8.46
