Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 2007gr	0.0	0	0	0	0	13.519	0.024	0	0	0.777	0.052	4.9
SN 2007gr	1.0	0	0	0	0	13.535	0.041	0	0	0.954	0.06	4.9
SN 2007gr	4.0	0	0	0	0	13.045	0.025	0	0	0.687	0.058	4.9
SN 2007gr	7.1	0	0	0	0	12.834	0.026	0	0	0.763	0.064	4.9
SN 2007gr	13.2	0	0	0	0	12.78	0.06	0	0	0.417	0.044	4.9
SN 2007gr	25.9	0	0	0	0	13.551	0.05	0	0	0.233	0.076	4.9
SN 2007gr	67.0	0	0	0	0	14.772	0.021	0	0	0.163	0.045	4.9
SN 2007gr	92.9	0	0	0	0	15.215	0.02	0	0	0.146	0.034	4.9
