Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
XTE J0421+560	7.68091030785	0	0	0	0	8.27636452217	0.0	0	0	518.858959724	0.0	8.0
XTE J0421+560	8.05576362679	0	0	0	0	8.68684461156	0.0	0	0	630.966824248	0.0	8.0
XTE J0421+560	9.09864348297	0	0	0	0	9.02893951133	0.0	0	0	354.467161922	0.0	8.0
XTE J0421+560	10.0773461172	0	0	0	0	9.15682081745	0.0	0	0	236.864925446	0.0	8.0
XTE J0421+560	12.0668399967	0	0	0	0	9.43941960072	0.0	0	0	131.111257204	0.0	8.0
XTE J0421+560	14.1205110981	0	0	0	0	9.56363906119	0.0	0	0	201.734959976	0.0	8.0
XTE J0421+560	17.1047519173	0	0	0	0	10.1630399085	0.0	0	0	96.5529331843	0.0	8.0
XTE J0421+560	18.7091824653	0	0	0	0	10.2217426481	0.0	0	0	89.2774965486	0.0	8.0
XTE J0421+560	19.984704751	0	0	0	0	10.3496239542	0.0	0	0	83.8209190717	0.0	8.0
XTE J0421+560	23.6989614695	0	0	0	0	10.5750655301	0.0	0	0	67.4511866412	0.0	8.0
XTE J0421+560	25.0065723661	0	0	0	0	10.6619707958	0.0	0	0	75.3880266075	0.0	8.0
