Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GRB 970508	5.06	0	0	0	0	20.63	0.05	0	0	0.61	0.033	8.46
GRB 970508	6.23	0	0	0	0	21.09	0.07	0	0	0.43	0.025	8.46
GRB 970508	13.2	0	0	0	0	21.81	0.1	0	0	0.96	0.1	8.46
GRB 970508	14.23	0	0	0	0	22.09	0.07	0	0	0.57	0.042	8.46
GRB 970508	28.07	0	0	0	0	23.66	0.1	0	0	0.69	0.028	8.46
GRB 970508	31.84	0	0	0	0	23.54	0.2	0	0	0.53	0.038	8.46
GRB 970508	35.09	0	0	0	0	23.34	0.22	0	0	0.6	0.039	8.46
GRB 970508	36.83	0	0	0	0	23.42	0.14	0	0	0.46	0.066	8.46
GRB 970508	50.78	0	0	0	0	23.88	0.16	0	0	0.565	0.036	8.46
GRB 970508	82.56	0	0	0	0	24.54	0.25	0	0	0.455	0.085	8.46
GRB 970508	87.11	0	0	0	0	24.28	0.35	0	0	0.38	0.042	8.46
