Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
V1500 Cyg	27.0	0	0	7.5	0.0	0	0	0	0	6.0	0.0	8.1
V1500 Cyg	34.1	0	0	7.7	0.0	0	0	0	0	12.0	0.0	8.1
V1500 Cyg	41.9	0	0	8.1	0.0	0	0	0	0	14.0	0.0	8.1
V1500 Cyg	60.1	0	0	8.78	0.0	0	0	0	0	23.0	0.0	8.1
V1500 Cyg	75.0	0	0	9.0	0.0	0	0	0	0	25.0	0.0	8.1
V1500 Cyg	106.0	0	0	9.5	0.0	0	0	0	0	36.0	0.0	8.1
V1500 Cyg	141.0	0	0	10.0	0.0	0	0	0	0	30.0	0.0	8.1
V1500 Cyg	163.0	0	0	10.4	0.0	0	0	0	0	31.0	0.0	8.1
V1500 Cyg	231.0	0	0	10.6	0.0	0	0	0	0	26.0	0.0	8.1
V1500 Cyg	257.0	0	0	10.7	0.0	0	0	0	0	25.0	0.0	8.1
V1500 Cyg	400.0	0	0	11.55	0.0	0	0	0	0	12.0	0.0	8.1
