Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
RS Oph	4.5	0	0	6.22	0.0	0	0	0	0	33.0	2.0	6.0
RS Oph	5.5	0	0	6.23	0.0	0	0	0	0	14.0	2.0	6.0
RS Oph	7.46	0	0	7.23	0.0	0	0	0	0	41.2	0.8	6.0
RS Oph	16.52	0	0	7.92	0.0	0	0	0	0	37.9	1.1	6.0
RS Oph	17.47	0	0	7.99	0.0	0	0	0	0	35.8	0.7	6.0
RS Oph	21.85	0	0	8.53	0.0	0	0	0	0	43.0	5.0	6.0
RS Oph	28.5	0	0	9.1	0.0	0	0	0	0	45.0	5.0	6.0
RS Oph	40.62	0	0	9.6	0.0	0	0	0	0	50.0	5.0	6.0
RS Oph	49.71	0	0	9.9	0.0	0	0	0	0	40.0	5.0	6.0
