Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GS 1124-684	2.13395145837	0	0	0	0	13.3538808291	0.0	0	0	170.661157025	0.0	4.7
GS 1124-684	3.1054610284	0	0	0	0	13.3432328519	0.0	0	0	92.1487603306	0.0	4.7
GS 1124-684	3.92046803288	0	0	0	0	13.5151222346	0.0	0	0	23.5537190083	0.0	4.7
GS 1124-684	5.19729023503	0	0	0	0	13.3774881373	0.0	0	0	6.03305785124	0.0	4.7
GS 1124-684	6.64082745828	0	0	0	0	13.4329755275	0.0	0	0	4.04958677686	0.0	4.7
GS 1124-684	7.1217412741	0	0	0	0	13.4038069232	0.0	0	0	2.72727272727	0.0	4.7
GS 1124-684	8.32468896013	0	0	0	0	13.3455399491	0.0	0	0	1.07438016529	0.0	4.7
GS 1124-684	15.8403267827	0	0	0	0	13.5065110582	0.0	0	0	33.8016528926	0.0	4.7
