Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GRB 060218	1.87	0	0	0	0	18.1	0.06	0	0	0.453	0.077	8.46
GRB 060218	3.0	0	0	0	0	17.96	0.09	0	0	0.381	0.06	8.46
GRB 060218	3.83	0	0	0	0	17.76	0.08	0	0	0.269	0.04	8.46
GRB 060218	4.85	0	0	0	0	17.66	0.03	0	0	0.28	0.047	8.46
GRB 060218	6.97	0	0	0	0	17.4	0.04	0	0	0.164	0.039	8.46
GRB 060218	7.94	0	0	0	0	17.31	0.04	0	0	0.03	0.03	8.46
GRB 060218	9.95	0	0	0	0	17.25	0.03	0	0	0.039	0.025	8.46
GRB 060218	12.88	0	0	0	0	17.24	0.03	0	0	0.015	0.015	8.46
GRB 060218	16.74	0	0	0	0	17.36	0.07	0	0	0.075	0.013	8.46
GRB 060218	19.86	0	0	0	0	17.6	0.03	0	0	0.048	0.014	8.46
GRB 060218	21.96	0	0	0	0	17.62	0.04	0	0	0.087	0.039	8.46
GRB 060218	24.91	0	0	0	0	17.89	0.03	0	0	0.02	0.02	8.46
