Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
115052.29-005016.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.028	18.083	0.016	0	0	15.587	0.254	1.65054074191	0	1.4	1
115053.12+094638.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.019	18.909	0.036	0	0	17.187	17.187	1.0102439282	0	1.4	1
115056.08+572806.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.044	0.0	0.025	19.282	0.019	0	0	15.533	0.208	1.39967191668	0	1.4	1
115102.13+314643.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.018	17.391	0.017	0	0	15.137	0.145	6.16064592365	0	1.4	1
115102.39+250134.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.025	19.151	0.024	0	0	17.71	17.71	8.15128820799	0	1.4	1
115103.01+592335.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.029	19.819	0.035	0	0	0	0	59.597253896	0	1.4	1
115106.69+471157.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.018	17.01	0.029	0	0	14.182	0.057	3.17121910277	0	1.4	1
115106.72+232128.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.037	18.718	0.027	0	0	0	0	4.41800546665	0	1.4	1
115108.81+471509.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.047	0.0	0.024	19.765	0.034	0	0	0	0	1.30986412866	0	1.4	1
115111.34-030541.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.598	0.0	0.029	20.155	0.033	0	0	0	0	44.1393820657	0	1.4	1
115112.85+334415.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.019	19.289	0.018	0	0	0	0	7.31183275125	0	1.4	1
115117.75+382221.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.018	15.495	0.017	0	0	12.44	0.024	10.9251208305	0	1.4	1
115120.45+543733.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.017	0.0	0.056	15.584	0.013	0	0	13.348	0.034	4.30156261394	0	1.4	1
115120.55+222012.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.079	0.0	0.026	19.475	0.02	0	0	0	0	2.9486705272	0	1.4	1
115121.31+581453.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.1	0.0	0.037	18.607	0.024	0	0	15.567	0.179	1.13979369147	0	1.4	1
115123.05+421651.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.024	19.561	0.021	0	0	0	0	2.23062337497	0	1.4	1
115123.36+084216.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.031	18.425	0.021	0	0	16.825	16.825	5.81870378438	0	1.4	1
115127.22+151151.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.02	0.0	0.016	18.36	0.017	0	0	17.154	17.154	1.49977547973	0	1.4	1
115128.80+262000.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.037	0.0	0.024	18.976	0.021	0	0	15.763	0.194	3.20941774054	0	1.4	1
115129.37+382552.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.018	16.857	0.017	0	0	15.057	0.11	391.585181672	0	1.4	1
115133.14+234746.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.02	0.0	0.025	17.809	0.016	0	0	15.71	0.171	1.2497589308	0	1.4	1
115139.68+335541.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.018	0.0	0.017	18.278	0.015	0	0	17.1	17.1	6.65007049173	0	1.4	1
115140.68+064335.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.031	0.0	0.022	18.905	0.021	0	0	0	0	3.94117980643	0	1.4	1
115141.51+192609.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.053	0.0	0.028	19.638	0.02	0	0	0	0	4.02926887392	0	1.4	1
115149.01-014823.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.059	0.0	0.023	20.569	0.034	0	0	0	0	5.18115099186	0	1.4	1
