Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
# Bell#1	Bell#1	Pulsar?	0	0	0	0	0	0	22.5	0.1	0	0	0	0	200	0.05	8.46	<1.0
# M101	M101	?	0	0	21.42	0.1	20.79	0.1	20.16	0.1	0	0	0	0	3000	50	0.120	1.0
000043.72+002001.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2403531276	0	0	0	0	0	11.74	0	1.4	1
PKS J0217+0144	Quasar (RADIO Sel.)	QSO	0	0	18.5	0.1	18.33	0.1	18.51	0.1	13.29	0.1	12.358	0.1	1060.0	1	4.85	10
DM +61 2585	Stellar	Star	0	0	6.17	0.1	6.46	0.1	0	0	0	0	0	0	0.15	0.1	4.885	0.5
HR 9107	Stellar	Star	0	0	6.722	0.1	6.09	0.1	0	0	0	0	0	0	0.18	0.1	8.44	0.5
UU Psc	Stellar	Star	0	0	6.212	0.1	5.9	0.1	0	0	0	0	0	0	11.74	0.1	4.85	0.5
HD 1405	Stellar	RSCVn	0	0	9.808	0.1	8.86	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
TV Cas	Stellar	Algol	0	0	11.33	0.1	10.83	0.1	0	0	0	0	0	0	1	0.1	4.85	0.5
FF And	Stellar	VariableStar	0	0	12.02	0.1	10.52	0.1	0	0	0	0	0	0	0.87	0.1	4.85	0.5
DM +63 83	Stellar	Star	0	0	7.406	0.1	7.58	0.1	0	0	0	0	0	0	0.47	0.1	4.885	0.5
EG And	Stellar	SymbioticStar	0	0	8.793	0.1	7.18	0.1	0	0	0	0	0	0	0.52	0.1	4.85	0.5
CF Tuc	Stellar	RSCVn	0	0	8.75	0.1	7.78	0.1	0	0	0	0	0	0	2.3	0.1	4.85	0.5
27 GAM Cas	Stellar	Star	0	0	1.398	0.1	1.688	0.1	0	0	0	0	0	0	0.25	0.1	4.885	0.5
V 388 Cas	Stellar	VariableStar	0	0	15.34	0.1	13.66	0.1	0	0	0	0	0	0	6.13	0.1	4.85	0.5
ZET Phe	Stellar	Algol	0	0	3.82	0.1	3.94	0.1	0	0	0	0	0	0	7	0.1	4.85	0.5
43 BET And	Stellar	Star	0	0	3.646	0.1	2.07	0.1	0	0	0	0	0	0	0.18	0.1	8.44	0.5
AY Cet	Stellar	RSCVn	0	0	6.308	0.1	5.42	0.1	0	0	0	0	0	0	6.05	0.1	4.85	0.5
UV Psc	Stellar	VariableStar	0	0	9.88	0.1	8.99	0.1	0	0	0	0	0	0	3.53	0.1	4.85	0.5
BI Cet	Stellar	RSCVn	0	0	9.706	0.1	9	0.1	0	0	0	0	0	0	2.96	0.1	4.85	0.5
AR Psc	Stellar	RSCVn	0	0	8.129	0.1	7.3	0.1	0	0	0	0	0	0	4.13	0.1	4.85	0.5
HR 407	Stellar	Star	0	0	6.627	0.1	6.18	0.1	0	0	0	0	0	0	6	0.1	4.85	0.5
AX Per	Stellar	SymbioticStar	0	0	11.91	0.1	10.4	0.1	0	0	0	0	0	0	0.58	0.1	8.44	0.5
UV Cet A	Stellar	VariableStar	0	0	14.42	0.1	12.57	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
UV Cet B	Stellar	VariableStar	0	0	14.55	0.1	12.7	0.1	0	0	0	0	0	0	1.5	0.1	4.85	0.5
V 471 Per	Stellar	Algol	0	0	13.03	0.1	13.03	0.1	0	0	0	0	0	0	0.45	0.1	8.44	0.5
47 Cas	Stellar	Star	0	0	8.02	0.1	7.44	0.1	0	0	0	0	0	0	1.68	0.1	4.85	0.5
Hen 1	Stellar	Star	0	0	9.87	0.1	9.87	0.1	0	0	0	0	0	0	1.5	0.1	4.85	0.5
6 IOT Tri	Stellar	Star	0	0	6.46	0.1	5.69	0.1	0	0	0	0	0	0	0.2	0.1	4.885	0.5
Mira	Stellar	VariableStar	0	0	8.07	0.1	6.47	0.1	0	0	0	0	0	0	0.46	0.1	4.85	0.5
RX J0219.7-102	Stellar	Stellar	0	0	12.41	0.1	11.6	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
KAP For	Stellar	Star	0	0	5.798	0.1	5.19	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
DM +60 502	Stellar	YSO	0	0	4.99	0.1	5.31	0.1	0	0	0	0	0	0	0.5	0.1	4.85	0.5
HD 15570	Stellar	Star	0	0	4.702	0.1	5.012	0.1	0	0	0	0	0	0	0.2	0.1	4.85	0.5
CC Eri	Stellar	VariableStar	0	0	10.24	0.1	8.85	0.1	0	0	0	0	0	0	1.28	0.1	4.85	0.5
V 615 Cas	Stellar	XRB	0	0	0	0	10.7	0.1	0	0	0	0	0	0	92.39	0.1	4.85	0.5
HD 16429	Stellar	VariableStar	0	0	4.61	0.1	4.91	0.1	0	0	0	0	0	0	0.33	0.1	4.85	0.5
DM +56 693	Stellar	Star	0	0	5.79	0.1	6.11	0.1	0	0	0	0	0	0	0.3	0.1	4.885	0.5
UX For	Stellar	RSCVn	0	0	9.075	0.1	8.33	0.1	0	0	0	0	0	0	2.88	0.1	4.85	0.5
RY Per	Stellar	Algol	0	0	8.614	0.1	8.5	0.1	0	0	0	0	0	0	0.09	0.1	4.85	0.5
RZ Cas	Stellar	Algol	0	0	8.458	0.1	7.08	0.1	0	0	0	0	0	0	1.34	0.1	4.85	0.5
HD 237006	Stellar	Star	0	0	10.83	0.1	9.15	0.1	0	0	0	0	0	0	0.7	0.1	4.885	0.5
VY Ari	Stellar	RSCVn	0	0	7.896	0.1	6.94	0.1	0	0	0	0	0	0	7.05	0.1	4.885	0.5
RX J0251.8-020	Stellar	Stellar	0	0	12.915	0.1	12.14	0.1	0	0	0	0	0	0	0.78	0.1	4.85	0.5
RZ Ari	Stellar	Star	0	0	7.212	0.1	5.76	0.1	0	0	0	0	0	0	9	0.1	4.85	0.5
Menkar	Stellar	Star	0	0	4.17	0.1	2.54	0.1	0	0	0	0	0	0	0.74	0.1	8.44	0.5
25 RHO Per	Stellar	Star	0	0	4.848	0.1	3.32	0.1	0	0	0	0	0	0	0.18	0.1	4.885	0.5
Algol	Stellar	Algol	0	0	6.27	0.1	5.37	0.1	0	0	0	0	0	0	66.57	0.1	4.85	0.5
AY Per	Stellar	Algol	0	0	9.4117	0.1	9.41	0.1	0	0	0	0	0	0	0.23	0.1	4.885	0.5
LX Per	Stellar	RSCVn	0	0	8.927	0.1	8.17	0.1	0	0	0	0	0	0	0.51	0.1	4.85	0.5
ALF For	Stellar	Star	0	0	6.87	0.1	6.15	0.1	0	0	0	0	0	0	0.45	0.1	4.85	0.5
CC Cas	Stellar	VariableStar	0	0	4.33	0.1	4.64	0.1	0	0	0	0	0	0	4.82	0.1	4.85	0.5
UX Ari	Stellar	RSCVn	0	0	7.5	0.1	6.6	0.1	0	0	0	0	0	0	28.26	0.1	4.85	0.5
HH 7-11 IRS	Stellar	YSO	0	0	0	0	23.8	0.1	0	0	0	0	0	0	0.8	0.1	4.885	0.5
RX J0333.0+035	Stellar	Stellar	0	0	14.11	0.1	12.78	0.1	0	0	0	0	0	0	0.17	0.1	4.85	0.5
IX Per	Stellar	Star	0	0	7.089	0.1	6.66	0.1	0	0	0	0	0	0	1.55	0.1	4.885	0.5
37 PSI Per	Stellar	Star	0	0	4.262	0.1	4.32	0.1	0	0	0	0	0	0	0.26	0.1	4.85	0.5
V 837 Tau	Stellar	VariableStar	0	0	9.25	0.1	8.1	0.1	0	0	0	0	0	0	0.98	0.1	4.85	0.5
V 711 Tau	Stellar	RSCVn	0	0	6.895	0.1	6.01	0.1	0	0	0	0	0	0	53.23	0.1	4.85	0.5
HR 1105	Stellar	SymbioticStar	0	0	6.731	0.1	5.08	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
RX J0344.8+035	Stellar	Star	0	0	12.65	0.1	11.74	0.1	0	0	0	0	0	0	0.24	0.1	4.85	0.5
HZ 625	Stellar	Star	0	0	12.24	0.1	11.46	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HZ 939	Stellar	Stellar	0	0	0	0	13.69	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
HZ 1136	Stellar	Stellar	0	0	12.06	0.1	11.34	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
25 ETA Tau	Stellar	Star	0	0	2.764	0.1	2.85	0.1	0	0	0	0	0	0	0.14	0.1	8.4	0.5
B5 IRS 1	Stellar	YSO	0	0	0	0	15.4	0.1	0	0	0	0	0	0	0.11	0.1	4.85	0.5
HZ 1538	Stellar	Stellar	0	0	0	0	12.55	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
V 660 Tau	Stellar	VariableStar	0	0	13.32	0.1	12.41	0.1	0	0	0	0	0	0	0.071	0.1	4.85	0.5
DM +16 516	Stellar	Algol	0	0	10.242	0.1	9.46	0.1	0	0	0	0	0	0	0.72	0.1	4.85	0.5
HD 285281	Stellar	YSO	0	0	10.86	0.1	10	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HD 285372	Stellar	YSO	0	0	12.46	0.1	11.5	0.1	0	0	0	0	0	0	0.22	0.1	4.85	0.5
RW Tau	Stellar	Star	0	0	11.45	0.1	10.49	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
CF Tau	Stellar	Algol	0	0	9.562	0.1	8.982	0.1	0	0	0	0	0	0	0.85	0.1	4.85	0.5
RX J0405.3+200	Stellar	YSO	0	0	10.795	0.1	10.14	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HBC 362	Stellar	YSO	0	0	15.53	0.1	14.01	0.1	0	0	0	0	0	0	0.28	0.1	4.76	0.5
RX J0406.8+254	Stellar	YSO	0	0	12.2	0.1	10.82	0.1	0	0	0	0	0	0	0.29	0.1	4.85	0.5
RX J0407.8+175	Stellar	YSO	0	0	12.25	0.1	11.2	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
RX J0408.2+195	Stellar	YSO	0	0	8.46	0.1	7.55	0.1	0	0	0	0	0	0	0.19	0.1	4.85	0.5
DM -52 497	Stellar	Stellar	0	0	9.534	0.1	8.59	0.1	0	0	0	0	0	0	6.24	0.1	4.85	0.5
RX J0409.2+171	Stellar	YSO	0	0	14.14	0.1	12.66	0.1	0	0	0	0	0	0	0.23	0.1	4.85	0.5
RX J0409.8+244	Stellar	YSO	0	0	14.45	0.1	12.95	0.1	0	0	0	0	0	0	0.57	0.1	4.85	0.5
EI Eri	Stellar	RSCVn	0	0	7.742	0.1	7.03	0.1	0	0	0	0	0	0	10.7	0.1	4.85	0.5
RX J0412.8+244	Stellar	YSO	0	0	12.39	0.1	11.62	0.1	0	0	0	0	0	0	0.35	0.1	4.85	0.5
HBC 366	Stellar	VariableStar	0	0	14.9	0.1	13.46	0.1	0	0	0	0	0	0	2.99	0.1	4.85	0.5
DM +09 549	Stellar	Star	0	0	5.15	0.1	5.26	0.1	0	0	0	0	0	0	2.3	0.1	4.85	0.5
HD 283447	Stellar	YSO	0	0	11.789	0.1	10.71	0.1	0	0	0	0	0	0	6.9	0.1	4.885	0.5
RX J0415.3+204	Stellar	YSO	0	0	11.035	0.1	10.41	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
40 OMI(2) Eri	Stellar	Stellar	0	0	13.846	0.1	12.166	0.1	0	0	0	0	0	0	0.31	0.1	4.85	0.5
b Per	Stellar	Star	0	0	4.643	0.1	4.6	0.1	0	0	0	0	0	0	5.24	0.1	4.85	0.5
HD 27130	Stellar	VariableStar	0	0	9.076	0.1	8.32	0.1	0	0	0	0	0	0	0.5	0.1	1.483	0.5
V 410 Tau	Stellar	YSO	0	0	12.11	0.1	10.78	0.1	0	0	0	0	0	0	2.6	0.1	4.85	0.5
V 892 Tau	Stellar	YSO	0	0	6.31	0.1	6.33	0.1	0	0	0	0	0	0	0.42	0.1	4.85	0.5
Hubble 4	Stellar	YSO	0	0	11.6	0.1	10.27	0.1	0	0	0	0	0	0	1.64	0.1	4.85	0.5
HBC 375	Stellar	YSO	0	0	20.7	0.1	19.3	0.1	0	0	0	0	0	0	0.2	0.1	4.86	0.5
RW Per	Stellar	Algol	0	0	10.27	0.1	9.68	0.1	0	0	0	0	0	0	0.1	0.1	4.85	0.5
RY Tau	Stellar	YSO	0	0	9.629	0.1	9.06	0.1	0	0	0	0	0	0	0.33	0.1	8.44	0.5
DM +27 657	Stellar	YSO	0	0	8.841	0.1	8.27	0.1	0	0	0	0	0	0	0.62	0.1	4.85	0.5
FS Tau A	Stellar	VariableStar	0	0	13.98	0.1	12.5	0.1	0	0	0	0	0	0	0.19	0.1	4.885	0.5
T Tau	Stellar	YSO	0	0	8.75	0.1	8.14	0.1	0	0	0	0	0	0	2.9	0.1	4.85	0.5
DM +26 718	Stellar	YSO	0	0	12.09	0.1	11.23	0.1	0	0	0	0	0	0	2.06	0.1	4.85	0.5
DM +26 718B	Stellar	YSO	0	0	11.31	0.1	10.5	0.1	0	0	0	0	0	0	3.4	0.1	4.85	0.5
V 777 Tau	Stellar	VariableStar	0	0	8.78	0.1	8.12	0.1	0	0	0	0	0	0	0.17	0.1	4.85	0.5
DG Tau B	Stellar	YSO	0	0	14.91	0.1	13.5	0.1	0	0	0	0	0	0	0.36	0.1	4.85	0.5
DG Tau	Stellar	YSO	0	0	12.04	0.1	10.8	0.1	0	0	0	0	0	0	0.68	0.1	4.85	0.5
DM +17 724B	Stellar	Star	0	0	10.109	0.1	9.5	0.1	0	0	0	0	0	0	0.48	0.1	4.85	0.5
GV Tau	Stellar	YSO	0	0	14.15	0.1	13.1	0.1	0	0	0	0	0	0	0.59	0.1	4.85	0.5
HD 279899	Stellar	YSO	0	0	0	0	10.86	0.1	0	0	0	0	0	0	1.3	0.1	4.85	0.5
Lk H ALF 101	Stellar	Star	0	0	0	0	16.5	0.1	0	0	0	0	0	0	56.15	0.1	4.85	0.5
UX Tau	Stellar	YSO	0	0	11.83	0.1	10.35	0.1	0	0	0	0	0	0	0.11	0.1	4.85	0.5
HL Tau	Stellar	YSO	0	0	12.39	0.1	11.06	0.1	0	0	0	0	0	0	0.37	0.1	4.85	0.5
XZ Tau	Stellar	YSO	0	0	10.24	0.1	8.69	0.1	0	0	0	0	0	0	0.22	0.1	4.85	0.5
HK Tau	Stellar	VariableStar	0	0	0	0	16.62	0.1	0	0	0	0	0	0	1.4	0.1	4.85	0.5
L1551NE	Stellar	YSO	0	0	0	0	20.5	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
V 710 Tau	Stellar	VariableStar	0	0	14.34	0.1	12.79	0.1	0	0	0	0	0	0	0.69	0.1	4.85	0.5
V 827 Tau	Stellar	YSO	0	0	12.89	0.1	11.54	0.1	0	0	0	0	0	0	1.11	0.1	4.85	0.5
V 826 Tau	Stellar	VariableStar	0	0	12.93	0.1	11.58	0.1	0	0	0	0	0	0	0.67	0.1	4.85	0.5
HBC 404	Stellar	VariableStar	0	0	12.55	0.1	11.2	0.1	0	0	0	0	0	0	1.21	0.1	4.85	0.5
HD 28867	Stellar	YSO	0	0	5.71	0.1	5.78	0.1	0	0	0	0	0	0	0.36	0.1	4.76	0.5
HP Tau/G3	Stellar	YSO	0	0	12.27	0.1	10.94	0.1	0	0	0	0	0	0	0.47	0.1	4.85	0.5
HP Tau/G2	Stellar	YSO	0	0	9.07	0.1	8.46	0.1	0	0	0	0	0	0	1.65	0.1	4.85	0.5
RX J0435.9+235	Stellar	YSO	0	0	15.2	0.1	13.7	0.1	0	0	0	0	0	0	0.22	0.1	4.85	0.5
87 ALF Tau	Stellar	Star	0	0	2.408	0.1	0.87	0.1	0	0	0	0	0	0	0.3	0.1	8.44	0.5
Gliese 171.2	Stellar	VariableStar	0	0	9.54	0.1	8.42	0.1	0	0	0	0	0	0	0.89	0.1	4.85	0.5
IW Tau	Stellar	YSO	0	0	12.62	0.1	11.29	0.1	0	0	0	0	0	0	0.098	0.1	4.85	0.5
Gliese 174	Stellar	VariableStar	0	0	9.182	0.1	8.09	0.1	0	0	0	0	0	0	0.28	0.1	8.5	0.5
HD 283798	Stellar	YSO	0	0	10.217	0.1	9.55	0.1	0	0	0	0	0	0	0.15	0.1	4.85	0.5
RZ Eri	Stellar	RSCVn	0	0	10.34	0.1	9.44	0.1	0	0	0	0	0	0	5.68	0.1	4.85	0.5
RX J0444.9+271	Stellar	YSO	0	0	10.62	0.1	9.72	0.1	0	0	0	0	0	0	0.7	0.1	4.85	0.5
HD 30171	Stellar	YSO	0	0	10.074	0.1	9.31	0.1	0	0	0	0	0	0	0.38	0.1	4.85	0.5
RX J0446.8+225	Stellar	YSO	0	0	10.09	0.1	9.23	0.1	0	0	0	0	0	0	0.45	0.1	4.85	0.5
DM +18 734	Stellar	Star	0	0	7.568	0.1	6.95	0.1	0	0	0	0	0	0	8	0.1	4.85	0.5
RX J0451.9+284	Stellar	YSO	0	0	14.35	0.1	13.3	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
9 ALF Cam	Stellar	Star	0	0	3.086	0.1	3.336	0.1	0	0	0	0	0	0	0.23	0.1	4.85	0.5
RX J0452.8+162	Stellar	YSO	0	0	12.42	0.1	11.19	0.1	0	0	0	0	0	0	0.2	0.1	4.85	0.5
HD 31281	Stellar	YSO	0	0	9.812	0.1	9.14	0.1	0	0	0	0	0	0	1.35	0.1	4.85	0.5
HBC 426	Stellar	YSO	0	0	11.66	0.1	10.85	0.1	0	0	0	0	0	0	2.41	0.1	4.76	0.5
AB Aur	Stellar	YSO	0	0	5.98	0.1	6	0.1	0	0	0	0	0	0	0.15	0.1	8.44	0.5
HBC 427	Stellar	YSO	0	0	12.93	0.1	11.6	0.1	0	0	0	0	0	0	0.41	0.1	4.76	0.5
AM Aur	Stellar	Algol	0	0	10.827	0.1	10.17	0.1	0	0	0	0	0	0	0.17	0.1	4.85	0.5
RX J0457.0+314	Stellar	YSO	0	0	8	0.1	7.09	0.1	0	0	0	0	0	0	0.17	0.1	4.85	0.5
RX J0457.2+152	Stellar	YSO	0	0	5.06	0.1	4.2	0.1	0	0	0	0	0	0	0.23	0.1	4.85	0.5
DM +00 908	Stellar	RSCVn	0	0	6.405	0.1	5.7	0.1	0	0	0	0	0	0	0.79	0.1	4.885	0.5
V 1005 Ori	Stellar	VariableStar	0	0	10.994	0.1	9.6	0.1	0	0	0	0	0	0	0.29	0.1	4.85	0.5
YY Men	Stellar	Star	0	0	9.136	0.1	8.06	0.1	0	0	0	0	0	0	46.46	0.1	4.85	0.5
12 Cam	Stellar	RSCVn	0	0	7.192	0.1	6.08	0.1	0	0	0	0	0	0	2.02	0.1	4.85	0.5
RW Aur	Stellar	YSO	0	0	10.669	0.1	10.2	0.1	0	0	0	0	0	0	1.5	0.1	4.995	0.5
19 BET Ori	Stellar	Star	0	0	0.15	0.1	0.18	0.1	0	0	0	0	0	0	0.27	0.1	4.885	0.5
13 ALF Aur	Stellar	Star	0	0	2.255	0.1	1.46	0.1	0	0	0	0	0	0	0.21	0.1	4.85	0.5
IQ Aur	Stellar	VariableStar	0	0	5.213	0.1	5.38	0.1	0	0	0	0	0	0	0.39	0.1	4.85	0.5
V 1156 Ori	Stellar	Star	0	0	7.789	0.1	7.91	0.1	0	0	0	0	0	0	0.28	0.1	4.85	0.5
AFGL 5142 UC	Stellar	YSO	0	0	0	0	0	0.1	0	0	0	0	0	0	0.73	0.1	4.85	0.5
Rositter 137B	Stellar	VariableStar	0	0	14.58	0.1	13	0.1	0	0	0	0	0	0	1.94	0.1	4.85	0.5
AB Dor	Stellar	YSO	0	0	7.71	0.1	6.88	0.1	0	0	0	0	0	0	14.06	0.1	4.85	0.5
34 DEL Ori	Stellar	Algol	0	0	1.686	0.1	1.986	0.1	0	0	0	0	0	0	1.69	0.1	4.85	0.5
Ross 42	Stellar	VariableStar	0	0	13.187	0.1	11.55	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
THE(1) Ori A	Stellar	Star	0	0	5.28	0.1	5.55	0.1	0	0	0	0	0	0	13.16	0.1	4.85	0.5
THE(1) Ori E	Stellar	Star	0	0	0	0	11.7	0.1	0	0	0	0	0	0	7.78	0.1	4.85	0.5
THE(1) Ori G	Stellar	Star	0	0	0	0	15.5	0.1	0	0	0	0	0	0	7.78	0.1	4.85	0.5
THE(1) Ori H	Stellar	Star	0	0	0	0	15.5	0.1	0	0	0	0	0	0	7.78	0.1	4.85	0.5
Parenago 1869	Stellar	VariableStar	0	0	0	0	13.79	0.1	0	0	0	0	0	0	13.42	0.1	4.85	0.5
Parenago 1870	Stellar	VariableStar	0	0	0	0	12.5	0.1	0	0	0	0	0	0	10.83	0.1	4.85	0.5
GMR E	Stellar	Stellar	0	0	0	0	0	0.1	0	0	0	0	0	0	4.54	0.1	4.85	0.5
Parenago 1894	Stellar	YSO	0	0	0	0	15.2	0.1	0	0	0	0	0	0	10.37	0.1	4.85	0.5
Parenago 1893	Stellar	VariableStar	0	0	0	0	14.2	0.1	0	0	0	0	0	0	4.89	0.1	4.85	0.5
GMR 2	Stellar	RadioSource	0	0	0	0	0	0.1	0	0	0	0	0	0	5.22	0.1	4.85	0.5
GMR 1	Stellar	VariableStar	0	0	0	0	0	0.1	0	0	0	0	0	0	12.51	0.1	4.85	0.5
MT Ori	Stellar	VariableStar	0	0	12.2	0.1	11.2	0.1	0	0	0	0	0	0	6.42	0.1	4.85	0.5
Parenago 1925	Stellar	VariableStar	0	0	0	0	14.1	0.1	0	0	0	0	0	0	12.26	0.1	4.85	0.5
HR 1890	Stellar	Star	0	0	6.428	0.1	6.57	0.1	0	0	0	0	0	0	2.05	0.1	4.85	0.5
L 1641 NE	Stellar	YSO	0	0	0	0	17.7	0.1	0	0	0	0	0	0	6.97	0.1	4.85	0.5
Alnilam	Stellar	Star	0	0	1.328	0.1	1.558	0.1	0	0	0	0	0	0	1.6	0.1	4.885	0.5
IRAS 05338-062	Stellar	YSO	0	0	0	0	0	0.1	0	0	0	0	0	0	0.77	0.1	4.85	0.5
HH 1-2	Stellar	YSO	0	0	0	0	0	0.1	0	0	0	0	0	0	0.96	0.1	4.85	0.5
48 SIG Ori	Stellar	Star	0	0	3.62	0.1	3.87	0.1	0	0	0	0	0	0	1.37	0.1	4.85	0.5
SIG Ori E	Stellar	Star	0	0	6.47	0.1	6.65	0.1	0	0	0	0	0	0	3.04	0.1	4.85	0.5
Haro 4-255	Stellar	YSO	0	0	17.03	0.1	15.7	0.1	0	0	0	0	0	0	0.19	0.1	4.85	0.5
IRAS 05375-073	Stellar	Stellar	0	0	0	0	0	0.1	0	0	0	0	0	0	0.8	0.1	4.85	0.5
Alnitak	Stellar	Star	0	0	1.636	0.1	1.885	0.1	0	0	0	0	0	0	0.7	0.1	4.885	0.5
HR 1957	Stellar	VariableStar	0	0	6.333	0.1	6.46	0.1	0	0	0	0	0	0	0.97	0.1	4.885	0.5
TW Lep	Stellar	RSCVn	0	0	8.06	0.1	7	0.1	0	0	0	0	0	0	2.63	0.1	4.85	0.5
DM +03 1007	Stellar	RSCVn	0	0	7.94	0.1	6.82	0.1	0	0	0	0	0	0	0.83	0.1	4.85	0.5
NGC 2024 IRS 2	Stellar	YSO	0	0	0	0	11.64	0.1	0	0	0	0	0	0	2.8	0.1	4.885	0.5
HH 26 IRS	Stellar	YSO	0	0	0	0	13.41	0.1	0	0	0	0	0	0	0.28	0.1	4.85	0.5
SZ Pic	Stellar	RSCVn	0	0	9.453	0.1	8.64	0.1	0	0	0	0	0	0	0.62	0.1	4.85	0.5
Betelgeuse	Stellar	Star	0	0	1.95	0.1	0.45	0.1	0	0	0	0	0	0	1.49	0.1	4.85	0.5
37 THE Aur	Stellar	VariableStar	0	0	2.567	0.1	2.65	0.1	0	0	0	0	0	0	0.31	0.1	4.85	0.5
DN Ori	Stellar	Algol	0	0	10.04	0.1	9.8	0.1	0	0	0	0	0	0	0.11	0.1	4.85	0.5
RW Gem	Stellar	Algol	0	0	9.782	0.1	9.68	0.1	0	0	0	0	0	0	0.093	0.1	4.85	0.5
CQ Aur	Stellar	RSCVn	0	0	10.96	0.1	9.92	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
WY Gem	Stellar	Star	0	0	8.687	0.1	7.17	0.1	0	0	0	0	0	0	0.4	0.1	4.885	0.5
3A 0609+491	Stellar	Xray source	0	0	0	0	9.5	0.1	0	0	0	0	0	0	3.3	0.1	1.418	0.5
SFS No.10	Stellar	Stellar	0	0	0	0	12.5	0.1	0	0	0	0	0	0	2.5	0.1	1.418	0.5
MWC 137	Stellar	YSO	0	0	0	0	11.75	0.1	0	0	0	0	0	0	0.58	0.1	4.85	0.5
DM -10 1476	Stellar	Star	0	0	0	0	8.8	0.1	0	0	0	0	0	0	0.51	0.1	4.85	0.5
13 MUE Gem	Stellar	Stellar	0	0	4.491	0.1	2.87	0.1	0	0	0	0	0	0	0.24	0.1	4.85	0.5
V 577 Mon	Stellar	VariableStar	0	0	12.81	0.1	11.12	0.1	0	0	0	0	0	0	0.48	0.1	4.85	0.5
AX Mon	Stellar	Star	0	0	0	0	6.7	0.1	0	0	0	0	0	0	0.27	0.1	4.85	0.5
VY Mon	Stellar	YSO	0	0	0	0	13.7	0.1	0	0	0	0	0	0	1.5	0.1	4.995	0.5
DM +10 1172	Stellar	YSO	0	0	8.47	0.1	8.62	0.1	0	0	0	0	0	0	0.13	0.1	4.85	0.5
SV Cam	Stellar	Algol	0	0	12.44	0.1	11.39	0.1	0	0	0	0	0	0	0.41	0.1	8.44	0.5
CRL 961	Stellar	YSO	0	0	0	0	0	0.1	0	0	0	0	0	0	0.85	0.1	4.85	0.5
DM +06 1309	Stellar	Star	0	0	4.478	0.1	4.83	0.1	0	0	0	0	0	0	0.2	0.1	4.885	0.5
R Mon	Stellar	YSO	0	0	0	0	11.3	0.1	0	0	0	0	0	0	0.32	0.1	4.85	0.5
15 Mon	Stellar	Star	0	0	4.127	0.1	4.43	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
DM -23 4553	Stellar	Star	0	0	5.994	0.1	6.22	0.1	0	0	0	0	0	0	0.98	0.1	4.85	0.5
AU Mon	Stellar	Algol	0	0	8.398	0.1	8.36	0.1	0	0	0	0	0	0	0.12	0.1	4.85	0.5
DM -54 1142	Stellar	Star	0	0	9.1	0.1	7.97	0.1	0	0	0	0	0	0	6.97	0.1	4.85	0.5
DM -10 1774	Stellar	Star	0	0	7.181	0.1	6.9	0.1	0	0	0	0	0	0	0.34	0.1	4.85	0.5
VV Mon	Stellar	RSCVn	0	0	10.64	0.1	9.6	0.1	0	0	0	0	0	0	1.35	0.1	4.85	0.5
Z CMa	Stellar	YSO	0	0	0	0	9.84	0.1	0	0	0	0	0	0	1.78	0.1	4.85	0.5
DM -41 2833	Stellar	Star	0	0	10.476	0.1	9.42	0.1	0	0	0	0	0	0	5.74	0.1	4.85	0.5
SS Cam	Stellar	RSCVn	0	0	11.01	0.1	10.16	0.1	0	0	0	0	0	0	0.39	0.1	4.85	0.5
PI Pup	Stellar	Star	0	0	4.326	0.1	2.71	0.1	0	0	0	0	0	0	0.17	0.1	4.885	0.5
R CMa	Stellar	Algol	0	0	9.12	0.1	8.09	0.1	0	0	0	0	0	0	2.87	0.1	4.85	0.5
AR Mon	Stellar	RSCVn	0	0	9.791	0.1	8.73	0.1	0	0	0	0	0	0	0.88	0.1	4.85	0.5
VY CMa	Stellar	Star	0	0	9.68	0.1	8.08	0.1	0	0	0	0	0	0	0.26	0.1	4.85	0.5
3 BET CMi	Stellar	Star	0	0	2.793	0.1	2.89	0.1	0	0	0	0	0	0	0.23	0.1	4.85	0.5
